student_id,first_name,last_name,grade_level,teacher_name,classroom,place_value_mastery,addition_mastery,regrouping_mastery,skill_gap,student_category
STU119,Alexander,Rivera,3,Mr. Thompson,3C,100,91.67,50,50,Target Group
STU120,Charles,Wright,2,Mr. Chen,2B,48,33.33,27.78,20.22,Needs Both
STU121,Anna,Hall,2,Ms. Rodriguez,2A,84,83.33,55.56,28.44,Target Group
STU122,Elena,Clark,3,Mr. Thompson,3C,88,58.33,11.11,76.89,Target Group
STU123,Lucas,Wilson,3,Ms. Patel,3B,88,75,38.89,49.11,Target Group
STU124,Ezekiel,Harris,3,Mrs. Johnson,3A,96,100,83.33,12.67,Proficient
STU125,Adrian,Clark,4,Mr. Davis,4B,36,41.67,33.33,2.67,Needs Both
STU126,Isabelle,Anderson,3,Mrs. Johnson,3A,60,91.67,50,10,Needs Both
STU127,Adrian,Perez,4,Mrs. Williams,4A,88,75,55.56,32.44,Target Group
STU128,Aria,Robinson,3,Mr. Thompson,3C,92,100,72.22,19.78,Target Group
STU129,Hazel,Nguyen,2,Mr. Chen,2B,84,83.33,72.22,11.78,Target Group
STU130,Madeline,Ramirez,3,Mrs. Johnson,3A,100,50,27.78,72.22,Target Group
STU131,Charlotte,Taylor,2,Ms. Rodriguez,2A,96,100,66.67,29.33,Target Group
STU132,Caleb,Perez,3,Ms. Patel,3B,68,75,27.78,40.22,Needs Both
STU133,Theodore,Taylor,3,Ms. Patel,3B,92,75,44.44,47.56,Target Group
STU134,Bella,Brown,3,Mrs. Johnson,3A,92,91.67,83.33,8.67,Proficient
STU135,Naomi,Jones,4,Mr. Davis,4B,44,8.33,27.78,16.22,Needs Both
STU136,Mason,Thomas,2,Mr. Chen,2B,92,66.67,61.11,30.89,Target Group
STU137,Joshua,Rodriguez,2,Mr. Chen,2B,96,75,55.56,40.44,Target Group
STU138,Nicholas,Hall,3,Ms. Patel,3B,100,66.67,22.22,77.78,Target Group
STU139,Bryson,Hill,4,Mr. Davis,4B,52,91.67,66.67,-14.67,Needs Both
STU140,Dylan,Martin,2,Mr. Chen,2B,92,75,50,42,Target Group
STU141,Ezekiel,Baker,3,Ms. Patel,3B,88,83.33,55.56,32.44,Target Group
STU142,Penelope,Jones,4,Mrs. Williams,4A,84,66.67,22.22,61.78,Target Group
STU143,Sofia,Hall,4,Mrs. Williams,4A,100,100,72.22,27.78,Target Group
STU144,Ruby,Williams,3,Mr. Thompson,3C,64,50,38.89,25.11,Needs Both
STU145,Henry,Allen,2,Mr. Chen,2B,84,83.33,16.67,67.33,Target Group
STU146,Angel,Miller,3,Mr. Thompson,3C,92,100,66.67,25.33,Target Group
STU147,Owen,Ramirez,3,Ms. Patel,3B,64,66.67,44.44,19.56,Needs Both
STU149,Evan,Moore,2,Mr. Chen,2B,72,83.33,44.44,27.56,Needs Both
STU150,Jaxon,Lewis,3,Mr. Thompson,3C,72,91.67,55.56,16.44,Needs Both
STU151,Stella,Johnson,3,Mr. Thompson,3C,92,75,22.22,69.78,Target Group
STU152,Isabelle,Wilson,3,Mr. Thompson,3C,96,100,61.11,34.89,Target Group
STU153,Jaxon,Hill,3,Mrs. Johnson,3A,88,83.33,61.11,26.89,Target Group
STU154,Morgan,Gonzalez,4,Mr. Davis,4B,92,75,61.11,30.89,Target Group
STU156,Roman,Rivera,4,Mr. Davis,4B,32,58.33,33.33,-1.33,Needs Both
STU157,Daniel,Jackson,4,Mrs. Williams,4A,56,66.67,50,6,Needs Both
STU158,Eleanor,Nelson,3,Mr. Thompson,3C,100,100,83.33,16.67,Proficient
STU159,Sarah,Mitchell,3,Mr. Thompson,3C,84,100,88.89,-4.89,Proficient
STU160,Ryan,Martin,2,Mr. Chen,2B,88,83.33,44.44,43.56,Target Group
STU161,Skylar,Davis,4,Mrs. Williams,4A,92,91.67,72.22,19.78,Target Group
STU162,Isaac,Wilson,3,Ms. Patel,3B,52,66.67,22.22,29.78,Needs Both
STU163,Matthew,Gonzalez,3,Mrs. Johnson,3A,100,83.33,16.67,83.33,Target Group
STU164,Isaiah,Smith,2,Ms. Rodriguez,2A,92,83.33,72.22,19.78,Target Group
STU165,James,Brown,4,Mr. Davis,4B,88,91.67,27.78,60.22,Target Group
STU166,Parker,Carter,4,Mr. Davis,4B,72,75,50,22,Needs Both
STU167,Sophie,Jackson,3,Mr. Thompson,3C,72,75,61.11,10.89,Needs Both
STU168,Anthony,Brown,4,Mr. Davis,4B,76,75,33.33,42.67,Needs Both
STU169,Sebastian,Jones,2,Mr. Chen,2B,36,50,22.22,13.78,Needs Both
STU170,Victoria,Martinez,3,Ms. Patel,3B,96,100,100,-4,Proficient
STU172,Austin,Harris,3,Ms. Patel,3B,76,75,72.22,3.78,Needs Both
STU173,Eva,Ramirez,3,Mrs. Johnson,3A,88,83.33,44.44,43.56,Target Group
STU174,Maya,Mitchell,4,Mrs. Williams,4A,84,91.67,33.33,50.67,Target Group
STU175,Gabriella,Wilson,2,Mr. Chen,2B,88,66.67,38.89,49.11,Target Group
STU176,Joshua,Lopez,2,Mr. Chen,2B,72,75,72.22,-0.22,Needs Both
STU177,Ariana,Lewis,3,Ms. Patel,3B,88,100,88.89,-0.89,Proficient
STU178,Isabella,Anderson,3,Mrs. Johnson,3A,36,16.67,27.78,8.22,Needs Both
STU179,Evelyn,Baker,3,Ms. Patel,3B,96,91.67,38.89,57.11,Target Group
STU180,Sarah,Davis,4,Mrs. Williams,4A,92,75,38.89,53.11,Target Group
STU012,Ezekiel,Gonzalez,2,Ms. Rodriguez,2A,64,66.67,61.11,2.89,Needs Both
STU070,Henry,Thomas,2,Ms. Rodriguez,2A,80,91.67,72.22,7.78,Target Group
STU077,James,Smith,2,Ms. Rodriguez,2A,84,91.67,88.89,-4.89,Proficient
STU148,Jace,Wright,3,Mrs. Johnson,3A,92,91.67,77.78,14.22,Proficient
STU155,Angel,Scott,4,Mrs. Williams,4A,76,58.33,50,26,Needs Both
STU171,Andrew,Davis,3,Mrs. Johnson,3A,32,25,38.89,-6.89,Needs Both
STU001,Parker,Davis,3,Mrs. Johnson,3A,80,75,61.11,18.89,Target Group
STU003,Evan,Ramirez,3,Mrs. Johnson,3A,36,58.33,50,-14,Needs Both
STU020,Aaliyah,Moore,3,Mrs. Johnson,3A,92,75,38.89,53.11,Target Group
STU035,Eleanor,Thomas,3,Mrs. Johnson,3A,56,41.67,33.33,22.67,Needs Both
STU044,Isabella,Perez,3,Mrs. Johnson,3A,84,50,27.78,56.22,Target Group
STU056,Aria,Harris,3,Mrs. Johnson,3A,44,50,33.33,10.67,Needs Both
STU059,Skylar,Brown,3,Mrs. Johnson,3A,100,91.67,66.67,33.33,Target Group
STU063,Kaylee,Hill,3,Mrs. Johnson,3A,88,75,44.44,43.56,Target Group
STU081,Mackenzie,Rodriguez,3,Mrs. Johnson,3A,84,100,66.67,17.33,Target Group
STU085,Gabriel,Clark,3,Mrs. Johnson,3A,88,91.67,88.89,-0.89,Proficient
STU094,Kaylee,Taylor,3,Mrs. Johnson,3A,80,91.67,55.56,24.44,Target Group
STU098,Jonathan,Ramirez,3,Mrs. Johnson,3A,84,75,77.78,6.22,Proficient
STU108,Penelope,Martinez,3,Mrs. Johnson,3A,88,100,72.22,15.78,Target Group
